2018/7/17,7751.970215,7867.149902,7749.609863,7855.120117,1740680000
2018/7/18,7859.430176,7863.77002,7822.830078,7854.439941,1857670000
2018/7/19,7829.799805,7849.850098,7811.149902,7825.299805,1853030000
2018/7/20,7843.080078,7860.25,7815.859863,7820.200195,1786250000
2018/7/23,7806.930176,7846.759766,7776.549805,7841.870117,1654290000
2018/7/24,7914.350098,7928.790039,7814.330078,7840.77002,2014850000
2018/7/25,7839.089844,7933.310059,7838.759766,7932.240234,1899790000
2018/7/26,7848.040039,7881.299805,7834.080078,7852.180176,2263070000
2018/7/27,7889.75,7889.75,7698.959961,7737.419922,2176170000
2018/7/30,7735.27002,7740.259766,7604.240234,7630,2143410000
2018/7/31,7654.589844,7709.490234,7614.839844,7671.790039,2195050000
2018/8/1,7701.819824,7732.680176,7670.709961,7707.290039,2223550000
2018/8/2,7659.52002,7808.850098,7659.52002,7802.689941,2081300000
2018/8/3,7819.22998,7824.060059,7783.299805,7812.009766,2018700000
2018/8/6,7809.540039,7859.680176,7801.879883,7859.680176,2238170000
2018/8/7,7878.620117,7898.200195,7868.649902,7883.660156,2197590000
2018/8/8,7880,7901.689941,7864.459961,7888.330078,2087850000
2018/8/9,7886.52002,7923.350098,7881.060059,7891.779785,2032950000
2018/8/10,7834.709961,7866.189941,7818.370117,7839.109863,2095180000
2018/8/13,7848,7888.660156,7814.27002,7819.709961,1914240000
2018/8/14,7847.879883,7878.22998,7815.5,7870.890137,1917360000
2018/8/15,7810.02002,7832.660156,7732.689941,7774.120117,2286960000
2018/8/16,7826.950195,7849.669922,7795.740234,7806.52002,1979540000
2018/8/17,7786.640137,7830.779785,7752.680176,7816.330078,1843150000
2018/8/20,7834.370117,7837.140137,7787.899902,7821.009766,1698970000
2018/8/21,7840.089844,7897.680176,7836.790039,7859.169922,1766630000
2018/8/22,7844.040039,7897.629883,7840.839844,7889.100098,1660460000
2018/8/23,7886.470215,7926.319824,7866.529785,7878.459961,1879890000
2018/8/24,7907.810059,7949.709961,7907.100098,7945.97998,1886600000
2018/8/27,7989.640137,8024.939941,7976.600098,8017.899902,2319130000
2018/8/28,8039.009766,8046.310059,8009.589844,8030.040039,1961300000
2018/8/29,8044.339844,8113.560059,8042.100098,8109.689941,1897000000
2018/8/30,8094.200195,8133.299805,8069.569824,8088.359863,2014450000
2018/8/31,8079.310059,8119.819824,8079.310059,8109.540039,1899910000
2018/9/4,8087.950195,8104.069824,8042.140137,8091.25,2229520000
2018/9/5,8073.529785,8077.839844,7962.350098,7995.169922,2596780000
2018/9/6,7998.27002,8001.970215,7885.490234,7922.72998,2368680000
2018/9/7,7878.790039,7962.529785,7873.930176,7902.540039,2146380000
2018/9/10,7939.569824,7945.029785,7890.390137,7924.160156,2041450000
2018/9/11,7894.870117,7986.319824,7880.919922,7972.470215,2320190000
2018/9/12,7958.870117,7965.390137,7884.049805,7954.22998,2341850000
2018/9/13,7999.930176,8037.509766,7989.850098,8013.709961,2318720000
2018/9/14,8026.160156,8040.830078,7979.779785,8010.040039,2033720000
2018/9/17,7992.209961,8002.779785,7890.069824,7895.790039,2284140000
2018/9/18,7903.569824,7986.100098,7901.009766,7956.109863,2317990000
2018/9/19,7962.549805,7976.120117,7917.72998,7950.040039,2156730000
2018/9/20,7993.529785,8039.060059,7986.410156,8028.22998,2287150000
2018/9/21,8041.689941,8057.259766,7979.669922,7986.959961,3706820000
2018/9/24,7939.379883,7997.899902,7912.470215,7993.25,2416380000
2018/9/25,8001.589844,8014.120117,7979.290039,8007.470215,2288140000
2018/9/26,8011.680176,8067.029785,7982.759766,7990.370117,2297030000
2018/9/27,8021.220215,8071.560059,8017.910156,8041.970215,2053770000
2018/9/28,8024.5,8065.060059,8015.870117,8046.350098,2323940000
2018/10/1,8091.5,8107.379883,8019.77002,8037.299805,2283230000
2018/10/2,8024.470215,8054.149902,7983.990234,7999.549805,2391370000
2018/10/3,8034.649902,8053.930176,8012.029785,8025.089844,3047330000
2018/10/4,7993.330078,7997.169922,7833.160156,7879.509766,3274550000
2018/10/5,7874.759766,7902.669922,7715.970215,7788.450195,2672900000
2018/10/8,7747.100098,7797.319824,7654.839844,7735.950195,2239640000
2018/10/9,7728.509766,7799.75,7718.950195,7738.02002,2459040000
2018/10/10,7694.080078,7701.200195,7420.560059,7422.049805,3077330000
2018/10/11,7388.069824,7493.209961,7274.040039,7329.060059,3139290000
2018/10/12,7507.839844,7516.689941,7368.330078,7496.890137,2650290000
2018/10/15,7473.330078,7500.930176,7400.069824,7430.740234,2148850000
2018/10/16,7501.779785,7658.140137,7493.439941,7645.490234,2623300000
2018/10/17,7669.259766,7670.490234,7563.089844,7642.700195,2364720000
2018/10/18,7616.470215,7616.859863,7452.459961,7485.140137,2545950000
2018/10/19,7530.160156,7582.890137,7428.299805,7449.029785,2532220000
2018/10/22,7486.740234,7520.540039,7424.740234,7468.629883,2282400000
2018/10/23,7328.549805,7472.580078,7260.129883,7437.540039,2735820000
2018/10/24,7423.209961,7435.689941,7099,7108.399902,2935550000
2018/10/25,7197.490234,7364.819824,7178.540039,7318.339844,2741810000
2018/10/26,7125.180176,7283.319824,7057,7167.209961,2964780000
2018/10/29,7272.419922,7295.609863,6922.830078,7050.290039,2689550000
2018/10/30,7017.870117,7166.839844,7001.47998,7161.649902,2681310000
2018/10/31,7276.620117,7368.490234,7270.629883,7305.899902,2899730000
2018/11/1,7327.819824,7435.879883,7286.5,7434.060059,2708880000
2018/11/2,7424.02002,7466.529785,7298.680176,7356.990234,2889910000
2018/11/5,7344.080078,7349.22998,7255.879883,7328.850098,2166470000
2018/11/6,7326.069824,7400.640137,7320.890137,7375.959961,2285680000
2018/11/7,7446.089844,7572.930176,7435.870117,7570.75,2677530000
2018/11/8,7544.169922,7566.930176,7499.709961,7530.879883,2462430000
2018/11/9,7468.509766,7474.339844,7349.47998,7406.899902,2418490000
2018/11/12,7364.049805,7371.089844,7193.77002,7200.870117,2283070000
2018/11/13,7230.689941,7319.120117,7182.859863,7200.870117,2343940000
2018/11/14,7265.390137,7285.569824,7101.169922,7136.390137,2540220000
2018/11/15,7112.830078,7274.259766,7072.359863,7259.029785,2508720000
